Simulation Time,Node,Contetion Size
0.079128589155,accessPoint,31
0.142617084971,wirelessHost[1],15
0.142655579242,accessPoint,31
0.179128589155,accessPoint,31
0.279128589155,accessPoint,31
0.342565603345,wirelessHost[2],15
0.342604406108,accessPoint,31
0.379128589155,accessPoint,31
0.399570875405,wirelessHost[0],15
0.399609230249,accessPoint,31
0.442617084971,wirelessHost[1],15
0.442659579242,accessPoint,31
0.443016073513,wirelessHost[1],15
0.443272567784,accessPoint,31
0.443889062055,wirelessHost[1],15
0.444225556326,accessPoint,31
0.479128589155,accessPoint,31
0.579128589155,accessPoint,31
0.642565603345,wirelessHost[2],15
0.642608406108,accessPoint,31
0.642865208871,wirelessHost[2],15
0.643102011634,accessPoint,31
0.643858814397,wirelessHost[2],15
0.64415561716,accessPoint,31
0.679128589155,accessPoint,31
0.699570875405,wirelessHost[0],15
0.699613230249,accessPoint,31
0.699969585093,wirelessHost[0],15
0.700385939937,accessPoint,31
0.701062294781,wirelessHost[0],15
0.701258649625,accessPoint,31
0.779128589155,accessPoint,31
0.879128589155,accessPoint,31
0.979128589155,accessPoint,31
1,wirelessHost[0],15
1,wirelessHost[1],15
1,wirelessHost[2],15
1.0000298,accessPoint,31
1.000926,wirelessHost[0],31
1.000926,wirelessHost[1],31
1.000926,wirelessHost[2],31
1.003264354844,accessPoint,31
1.004058354844,accessPoint,31
1.007375303756,wirelessHost[0],15
1.0076896586,accessPoint,31
1.0109316586,accessPoint,31
1.012010152871,wirelessHost[1],15
1.012324647142,accessPoint,31
1.013118647142,accessPoint,31
1.016346438447,wirelessHost[2],15
1.079128589155,accessPoint,31
1.179128589155,accessPoint,31
1.279128589155,accessPoint,31
1.379128589155,accessPoint,31
1.479128589155,accessPoint,31
1.579128589155,accessPoint,31
1.679128589155,accessPoint,31
1.779128589155,accessPoint,31
1.879128589155,accessPoint,31
1.979128589155,accessPoint,31
2,wirelessHost[0],15
2,wirelessHost[1],15
2,wirelessHost[2],15
2.001726,wirelessHost[0],31
2.001726,wirelessHost[1],31
2.001726,wirelessHost[2],31
2.005823157607,wirelessHost[0],63
2.005823297034,wirelessHost[1],63
2.079128589155,accessPoint,31
2.179128589155,accessPoint,31
2.279128589155,accessPoint,31
2.379128589155,accessPoint,31
2.479128589155,accessPoint,31
2.579128589155,accessPoint,31
2.679128589155,accessPoint,31
2.779128589155,accessPoint,31
2.879128589155,accessPoint,31
2.979128589155,accessPoint,31
3,wirelessHost[0],15
3,wirelessHost[1],15
3,wirelessHost[2],15
3.001726,wirelessHost[0],31
3.001726,wirelessHost[1],31
3.001726,wirelessHost[2],31
3.079128589155,accessPoint,31
3.179128589155,accessPoint,31
3.279128589155,accessPoint,31
3.379128589155,accessPoint,31
3.479128589155,accessPoint,31
3.579128589155,accessPoint,31
3.679128589155,accessPoint,31
3.779128589155,accessPoint,31
3.879128589155,accessPoint,31
3.979128589155,accessPoint,31
4,wirelessHost[0],15
4,wirelessHost[1],15
4,wirelessHost[2],15
4.001726,wirelessHost[0],31
4.001726,wirelessHost[1],31
4.001726,wirelessHost[2],31
4.079128589155,accessPoint,31
4.179128589155,accessPoint,31
4.279128589155,accessPoint,31
4.379128589155,accessPoint,31
4.479128589155,accessPoint,31
4.579128589155,accessPoint,31
4.679128589155,accessPoint,31
4.779128589155,accessPoint,31
4.879128589155,accessPoint,31
4.979128589155,accessPoint,31
5,wirelessHost[0],15
5,wirelessHost[1],15
5,wirelessHost[2],15
5.001726,wirelessHost[0],31
5.001726,wirelessHost[1],31
5.001726,wirelessHost[2],31
5.079128589155,accessPoint,31
5.179128589155,accessPoint,31
5.279128589155,accessPoint,31
5.379128589155,accessPoint,31
5.479128589155,accessPoint,31
5.579128589155,accessPoint,31
5.679128589155,accessPoint,31
5.779128589155,accessPoint,31
5.879128589155,accessPoint,31
5.979128589155,accessPoint,31
6,wirelessHost[0],15
6,wirelessHost[1],15
6,wirelessHost[2],15
6.001726,wirelessHost[0],31
6.001726,wirelessHost[1],31
6.001726,wirelessHost[2],31
6.079128589155,accessPoint,31
6.179128589155,accessPoint,31
6.279128589155,accessPoint,31
6.379128589155,accessPoint,31
6.479128589155,accessPoint,31
6.579128589155,accessPoint,31
6.679128589155,accessPoint,31
6.779128589155,accessPoint,31
6.879128589155,accessPoint,31
6.979128589155,accessPoint,31
7,wirelessHost[0],15
7,wirelessHost[1],15
7,wirelessHost[2],15
7.001726,wirelessHost[0],31
7.001726,wirelessHost[1],31
7.001726,wirelessHost[2],31
7.079128589155,accessPoint,31
7.179128589155,accessPoint,31
7.279128589155,accessPoint,31
7.379128589155,accessPoint,31
7.479128589155,accessPoint,31
7.579128589155,accessPoint,31
7.679128589155,accessPoint,31
7.779128589155,accessPoint,31
7.879128589155,accessPoint,31
7.979128589155,accessPoint,31
8,wirelessHost[0],15
8,wirelessHost[1],15
8,wirelessHost[2],15
8.001726,wirelessHost[0],31
8.001726,wirelessHost[1],31
8.001726,wirelessHost[2],31
8.079128589155,accessPoint,31
8.179128589155,accessPoint,31
8.279128589155,accessPoint,31
8.379128589155,accessPoint,31
8.479128589155,accessPoint,31
8.579128589155,accessPoint,31
8.679128589155,accessPoint,31
8.779128589155,accessPoint,31
8.879128589155,accessPoint,31
8.979128589155,accessPoint,31
9,wirelessHost[0],15
9,wirelessHost[1],15
9,wirelessHost[2],15
9.001726,wirelessHost[0],31
9.001726,wirelessHost[1],31
9.001726,wirelessHost[2],31
9.079128589155,accessPoint,31
9.179128589155,accessPoint,31
9.279128589155,accessPoint,31
9.379128589155,accessPoint,31
9.479128589155,accessPoint,31
9.579128589155,accessPoint,31
9.679128589155,accessPoint,31
9.779128589155,accessPoint,31
9.879128589155,accessPoint,31
9.979128589155,accessPoint,31
10,wirelessHost[0],15
10,wirelessHost[1],15
10,wirelessHost[2],15
10.001726,wirelessHost[0],31
10.001726,wirelessHost[1],31
10.001726,wirelessHost[2],31
10.079128589155,accessPoint,31
10.179128589155,accessPoint,31
10.279128589155,accessPoint,31
10.379128589155,accessPoint,31
10.479128589155,accessPoint,31
10.579128589155,accessPoint,31
10.679128589155,accessPoint,31
10.779128589155,accessPoint,31
10.879128589155,accessPoint,31
10.979128589155,accessPoint,31
11,wirelessHost[0],15
11,wirelessHost[1],15
11,wirelessHost[2],15
11.001726,wirelessHost[0],31
11.001726,wirelessHost[1],31
11.001726,wirelessHost[2],31
11.079128589155,accessPoint,31
11.179128589155,accessPoint,31
11.279128589155,accessPoint,31
11.379128589155,accessPoint,31
11.479128589155,accessPoint,31
11.579128589155,accessPoint,31
11.679128589155,accessPoint,31
11.779128589155,accessPoint,31
11.879128589155,accessPoint,31
11.979128589155,accessPoint,31
12,wirelessHost[0],15
12,wirelessHost[1],15
12,wirelessHost[2],15
12.001726,wirelessHost[0],31
12.001726,wirelessHost[1],31
12.001726,wirelessHost[2],31
12.079128589155,accessPoint,31
12.179128589155,accessPoint,31
12.279128589155,accessPoint,31
12.379128589155,accessPoint,31
12.479128589155,accessPoint,31
12.579128589155,accessPoint,31
12.679128589155,accessPoint,31
12.779128589155,accessPoint,31
12.879128589155,accessPoint,31
12.979128589155,accessPoint,31
13,wirelessHost[0],15
13,wirelessHost[1],15
13,wirelessHost[2],15
13.001726,wirelessHost[0],31
13.001726,wirelessHost[1],31
13.001726,wirelessHost[2],31
13.079128589155,accessPoint,31
13.179128589155,accessPoint,31
13.279128589155,accessPoint,31
13.379128589155,accessPoint,31
13.479128589155,accessPoint,31
13.579128589155,accessPoint,31
13.679128589155,accessPoint,31
13.779128589155,accessPoint,31
13.879128589155,accessPoint,31
13.979128589155,accessPoint,31
14,wirelessHost[0],15
14,wirelessHost[1],15
14,wirelessHost[2],15
14.001726,wirelessHost[0],31
14.001726,wirelessHost[1],31
14.001726,wirelessHost[2],31
14.079128589155,accessPoint,31
14.179128589155,accessPoint,31
14.279128589155,accessPoint,31
14.379128589155,accessPoint,31
14.479128589155,accessPoint,31
14.579128589155,accessPoint,31
14.679128589155,accessPoint,31
14.779128589155,accessPoint,31
14.879128589155,accessPoint,31
14.979128589155,accessPoint,31
15,wirelessHost[0],15
15,wirelessHost[1],15
15,wirelessHost[2],15
15.001726,wirelessHost[0],31
15.001726,wirelessHost[1],31
15.001726,wirelessHost[2],31
15.079128589155,accessPoint,31
15.179128589155,accessPoint,31
15.279128589155,accessPoint,31
15.379128589155,accessPoint,31
15.479128589155,accessPoint,31
15.579128589155,accessPoint,31
15.679128589155,accessPoint,31
15.779128589155,accessPoint,31
15.879128589155,accessPoint,31
15.979128589155,accessPoint,31
16,wirelessHost[0],15
16,wirelessHost[1],15
16,wirelessHost[2],15
16.001726,wirelessHost[0],31
16.001726,wirelessHost[1],31
16.001726,wirelessHost[2],31
16.079128589155,accessPoint,31
16.179128589155,accessPoint,31
16.279128589155,accessPoint,31
16.379128589155,accessPoint,31
16.479128589155,accessPoint,31
16.579128589155,accessPoint,31
16.679128589155,accessPoint,31
16.779128589155,accessPoint,31
16.879128589155,accessPoint,31
16.979128589155,accessPoint,31
17,wirelessHost[0],15
17,wirelessHost[1],15
17,wirelessHost[2],15
17.001726,wirelessHost[0],31
17.001726,wirelessHost[1],31
17.001726,wirelessHost[2],31
17.079128589155,accessPoint,31
17.179128589155,accessPoint,31
17.279128589155,accessPoint,31
17.379128589155,accessPoint,31
17.479128589155,accessPoint,31
17.579128589155,accessPoint,31
17.679128589155,accessPoint,31
17.779128589155,accessPoint,31
17.879128589155,accessPoint,31
17.979128589155,accessPoint,31
18,wirelessHost[0],15
18,wirelessHost[1],15
18,wirelessHost[2],15
18.001726,wirelessHost[0],31
18.001726,wirelessHost[1],31
18.001726,wirelessHost[2],31
18.079128589155,accessPoint,31
18.179128589155,accessPoint,31
18.279128589155,accessPoint,31
18.379128589155,accessPoint,31
18.479128589155,accessPoint,31
18.579128589155,accessPoint,31
18.679128589155,accessPoint,31
18.779128589155,accessPoint,31
18.879128589155,accessPoint,31
18.979128589155,accessPoint,31
19,wirelessHost[0],15
19,wirelessHost[1],15
19,wirelessHost[2],15
19.001726,wirelessHost[0],31
19.001726,wirelessHost[1],31
19.001726,wirelessHost[2],31
