Config,Power_mW,Sensitivity_dBm,SNIR_Threshold_dB,Background_Noise_dBm,Avg_Delay_s,PDR_%,Throughput_bps,Avg_BER,Avg_SNIR_dB,Retrans_Rate
Conf1,20,-85,4,-110,0.00295906224676923,100.0,47990.61945882741,0.010106086994927266,9251.359367847692,0.008862629246676515
Conf10,20,-85,16,-110,0.0030200775089658117,100.0,47990.59485307554,0.010314076795881736,9261.531695326063,0.011782032400589101
Conf11,20,-85,32,-110,0.0030200775089658117,100.0,47990.59485307554,0.010314076795881736,9261.531695326063,0.011782032400589101
Conf12,20,-85,4,-110,0.00295906224676923,100.0,47990.61945882741,0.010106086994927266,9251.359367847692,0.008862629246676515
Conf13,20,-85,4,-110,0.00295906224676923,100.0,47990.61945882741,0.010106086994927266,9251.359367847692,0.008862629246676515
Conf14,20,-85,4,-110,0.00295906224676923,100.0,47990.61945882741,0.010106086994927266,9251.359367847692,0.008862629246676515
Conf15,20,-85,4,-110,0.00295906224676923,100.0,47990.61945882741,0.010106086994927266,9251.359367847692,0.008862629246676515
Conf16,20,-85,4,-90,0.0030125269877094014,100.0,47990.59485307554,0.011257490398574451,92.51081075035562,0.013235294117647059
Conf17,20,-85,4,-130,0.00295906224676923,100.0,47990.61945882741,0.010105578593140043,925132.9285367283,0.008862629246676515
Conf18,20,-85,4,-160,0.00295906224676923,100.0,47990.61945882741,0.010105573592695434,925132898.1741343,0.008862629246676515
Conf19,20,-85,4,-200,0.00295906224676923,100.0,47990.61945882741,0.010105573592695434,9251328981437.441,0.008862629246676515
Conf2,50,-85,4,-110,0.028823877590064953,100.0,239692.67336842278,,,0.22422422422422422
Conf20,20,-85,4,-400,0.00295906224676923,100.0,47990.61945882741,0.010105573592695434,9.25132898143741e+32,0.008862629246676515
Conf3,80,-85,4,-110,0.00295906224676923,100.0,47990.61945882741,0.010105701092270348,37005.33922533413,0.008862629246676515
Conf4,120,-85,4,-110,0.00295906224676923,100.0,47990.61945882741,0.01010565931748595,55507.87917820943,0.008862629246676515
Conf5,150,-85,4,-110,0.00295906224676923,100.0,47990.61945882741,0.01010564174720401,69385.10845026608,0.008862629246676515
Conf6,20,-100,4,-110,0.00295906224676923,100.0,47990.61945882741,0.010106086994927266,9251.359367847692,0.008862629246676515
Conf7,20,-115,4,-110,0.00295906224676923,100.0,47990.61945882741,0.010106086994927266,9251.359367847692,0.008862629246676515
Conf8,20,-150,4,-110,0.00295906224676923,100.0,47990.61945882741,0.010106086994927266,9251.359367847692,0.008862629246676515
Conf9,20,-85,8,-110,0.0030522337519230764,100.0,47990.570075813856,0.0101224154942095,9248.382421479992,0.014684287812041116
