Simulation Time,Node,Contetion Size
0.036004135408,accessPoint,31
0.136004135408,accessPoint,31
0.187129723513,wirelessHost[3],15
0.187168707055,accessPoint,31
0.192498299526,wirelessHost[8],15
0.192536738562,accessPoint,31
0.214148108754,wirelessHost[0],15
0.214186392927,accessPoint,31
0.236004135408,accessPoint,31
0.256293353136,wirelessHost[9],15
0.256331846939,accessPoint,31
0.269911419344,wirelessHost[2],15
0.269949959428,accessPoint,31
0.273959453055,wirelessHost[7],15
0.273998432983,accessPoint,31
0.287418466015,wirelessHost[4],15
0.287437725672,wirelessHost[5],15
0.287457505526,accessPoint,31
0.288308565405,accessPoint,31
0.307184815221,wirelessHost[6],15
0.307223328158,accessPoint,31
0.336004135408,accessPoint,31
0.352739598975,wirelessHost[1],15
0.352777674013,accessPoint,31
0.436004135408,accessPoint,31
0.487129723513,wirelessHost[3],15
0.487172707055,accessPoint,31
0.487489690597,wirelessHost[3],15
0.487886674139,accessPoint,31
0.488223657681,wirelessHost[3],15
0.488660641223,accessPoint,31
0.492498299526,wirelessHost[8],15
0.492540738562,accessPoint,31
0.493257177598,wirelessHost[8],15
0.493673616634,accessPoint,31
0.49403005567,wirelessHost[8],15
0.494446494706,accessPoint,31
0.514148108754,wirelessHost[0],15
0.514190392927,accessPoint,31
0.5146066771,wirelessHost[0],15
0.514882961273,accessPoint,31
0.515539245446,wirelessHost[0],15
0.515735529619,accessPoint,31
0.536004135408,accessPoint,31
0.556293353136,wirelessHost[9],15
0.556335846939,accessPoint,31
0.556792340742,wirelessHost[9],15
0.556988834545,accessPoint,31
0.557265328348,wirelessHost[9],15
0.557401822151,accessPoint,31
0.569911419344,wirelessHost[2],15
0.569953959428,accessPoint,31
0.570090499512,wirelessHost[2],15
0.570227039596,accessPoint,31
0.57076357968,wirelessHost[2],15
0.571200119764,accessPoint,31
0.573959453055,wirelessHost[7],15
0.574002432983,accessPoint,31
0.574519412911,wirelessHost[7],15
0.574816392839,accessPoint,31
0.575513372767,wirelessHost[7],15
0.575830352695,accessPoint,31
0.587418466015,wirelessHost[4],15
0.587437725672,wirelessHost[5],15
0.587461505526,accessPoint,31
0.588315990995,wirelessHost[4],15
0.588361030506,accessPoint,31
0.588513753485,wirelessHost[5],15
0.588690476464,accessPoint,31
0.589485278465,wirelessHost[5],15
0.589530001444,accessPoint,31
0.590259040955,wirelessHost[4],15
0.590304080466,accessPoint,31
0.590837526424,accessPoint,31
0.607184815221,wirelessHost[6],15
0.607227328158,accessPoint,31
0.607763841095,wirelessHost[6],15
0.607940354032,accessPoint,31
0.608356866969,wirelessHost[6],15
0.608793379906,accessPoint,31
0.636004135408,accessPoint,31
0.652739598975,wirelessHost[1],15
0.652781674013,accessPoint,31
0.652957749051,wirelessHost[1],15
0.653233824089,accessPoint,31
0.653409899127,wirelessHost[1],15
0.653705974165,accessPoint,31
0.736004135408,accessPoint,31
0.836004135408,accessPoint,31
0.936004135408,accessPoint,31
1,wirelessHost[0],15
1,wirelessHost[1],15
1,wirelessHost[2],15
1,wirelessHost[3],15
1,wirelessHost[4],15
1,wirelessHost[5],15
1,wirelessHost[6],15
1,wirelessHost[7],15
1,wirelessHost[8],15
1,wirelessHost[9],15
1.00067,wirelessHost[0],31
1.00067,wirelessHost[1],31
1.00067,wirelessHost[2],31
1.00067,wirelessHost[3],31
1.00067,wirelessHost[4],31
1.00067,wirelessHost[5],31
1.00067,wirelessHost[6],31
1.00067,wirelessHost[7],31
1.00067,wirelessHost[8],31
1.00067,wirelessHost[9],31
1.001224075038,accessPoint,31
1.003654601164,accessPoint,31
1.004555584706,wirelessHost[3],63
1.004555640675,wirelessHost[4],63
1.009244174372,wirelessHost[1],15
1.00950224941,accessPoint,31
1.010998303986,accessPoint,31
1.013903144125,wirelessHost[5],15
1.014161867104,accessPoint,31
1.016015867104,accessPoint,31
1.017166407188,wirelessHost[2],15
1.017424947272,accessPoint,31
1.018002947272,accessPoint,31
1.020090311613,wirelessHost[0],15
1.020348595786,accessPoint,31
1.021066595786,accessPoint,31
1.023413657935,wirelessHost[9],15
1.023672151738,accessPoint,31
1.025626151738,accessPoint,31
1.026196590774,wirelessHost[8],15
1.02645502981,accessPoint,31
1.02699302981,accessPoint,31
1.028880420819,wirelessHost[6],15
1.029138933756,accessPoint,31
1.029776933756,accessPoint,31
1.032004939558,wirelessHost[7],15
1.032263919486,accessPoint,31
1.034417919486,accessPoint,31
1.035428958997,wirelessHost[4],15
1.035687998508,accessPoint,31
1.037761998508,accessPoint,31
1.038297998508,accessPoint,31
1.03906898205,wirelessHost[3],15
1.136004135408,accessPoint,31
1.236004135408,accessPoint,31
1.336004135408,accessPoint,31
1.436004135408,accessPoint,31
1.536004135408,accessPoint,31
1.636004135408,accessPoint,31
1.736004135408,accessPoint,31
1.836004135408,accessPoint,31
1.936004135408,accessPoint,31
2,wirelessHost[0],15
2,wirelessHost[1],15
2,wirelessHost[2],15
2,wirelessHost[3],15
2,wirelessHost[4],15
2,wirelessHost[5],15
2,wirelessHost[6],15
2,wirelessHost[7],15
2,wirelessHost[8],15
2,wirelessHost[9],15
2.00107,wirelessHost[0],31
2.00107,wirelessHost[1],31
2.00107,wirelessHost[2],31
2.00107,wirelessHost[3],31
2.00107,wirelessHost[4],31
2.00107,wirelessHost[5],31
2.00107,wirelessHost[6],31
2.00107,wirelessHost[7],31
2.00107,wirelessHost[8],31
2.00107,wirelessHost[9],31
2.004919385992,wirelessHost[5],63
2.004919642941,wirelessHost[7],63
2.009706905639,wirelessHost[2],63
2.009707349097,wirelessHost[3],63
2.036004135408,accessPoint,31
2.136004135408,accessPoint,31
2.236004135408,accessPoint,31
2.336004135408,accessPoint,31
2.436004135408,accessPoint,31
2.536004135408,accessPoint,31
2.636004135408,accessPoint,31
2.736004135408,accessPoint,31
2.836004135408,accessPoint,31
2.936004135408,accessPoint,31
3,wirelessHost[0],15
3,wirelessHost[1],15
3,wirelessHost[2],15
3,wirelessHost[3],15
3,wirelessHost[4],15
3,wirelessHost[5],15
3,wirelessHost[6],15
3,wirelessHost[7],15
3,wirelessHost[8],15
3,wirelessHost[9],15
3.00107,wirelessHost[0],31
3.00107,wirelessHost[1],31
3.00107,wirelessHost[2],31
3.00107,wirelessHost[3],31
3.00107,wirelessHost[4],31
3.00107,wirelessHost[5],31
